Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3926,Final Fantasy II Anniversary Edition,PSP,2007.0,Role-Playing,Square Enix,0.36,0.03,0.07,0.04,0.51
1567,Sonic Adventure DX: Director's Cut,GC,2003.0,Platform,Sega,0.87,0.3,0.06,0.03,1.27
10911,Championship Foosball,Wii,2008.0,Sports,505 Games,0.09,0.0,0.0,0.01,0.09
12951,Persona 2: Eternal Punishment,PSP,2012.0,Role-Playing,Atlus,0.0,0.0,0.05,0.0,0.05
14026,Ray Gigant,PSV,2015.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04
9412,My Baby: First Steps,Wii,2009.0,Simulation,SouthPeak Games,0.12,0.0,0.0,0.01,0.13
7913,Gallop Racer,PS,1999.0,Sports,Tecmo Koei,0.0,0.0,0.18,0.01,0.19
10730,Cubic Ninja,3DS,2011.0,Platform,Ubisoft,0.05,0.04,0.0,0.01,0.1
904,Mario Party 3,N64,2000.0,Misc,Nintendo,0.72,0.16,1.01,0.02,1.91
5483,BeatMania Append GottaMix,PS,1999.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.31,0.02,0.33
3456,Kinect Sports Rivals,XOne,2014.0,Sports,Microsoft Game Studios,0.3,0.22,0.02,0.04,0.58
13560,Corpse Party: Book of Shadows,PSP,2011.0,Adventure,5pb,0.0,0.0,0.04,0.0,0.04
8491,Guilty Gear Judgment,PSP,2006.0,Fighting,Majesco Entertainment,0.13,0.0,0.02,0.01,0.16
6089,World of Warcraft: Legion,PC,2016.0,Role-Playing,Activision,0.14,0.12,0.0,0.02,0.29
15057,NANA: Live Staff Daiboshuu! Shoshinsha Kangei,DS,2007.0,Action,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02
16106,Kana: Imouto,PSP,2010.0,Adventure,CyberFront,0.0,0.0,0.01,0.0,0.01
5813,Bruce Lee: Quest of the Dragon,XB,2002.0,Fighting,Universal Interactive,0.23,0.07,0.0,0.01,0.31
12565,Attack on Titan (KOEI),PS3,2016.0,Action,Tecmo Koei,0.0,0.0,0.06,0.0,0.06
7143,Sword Art Online: Infinity Moment,PSP,2013.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22
16446,Heart no Kuni no Alice: Wonderful Twin World,PSP,2014.0,Adventure,Quinrose,0.0,0.0,0.01,0.0,0.01
7404,Hot Shots Tennis: Get a Grip,PSP,2010.0,Sports,Sony Computer Entertainment,0.06,0.0,0.13,0.01,0.21
2042,Pong: The Next Level,PS,1998.0,Puzzle,Hasbro Interactive,0.56,0.38,0.0,0.07,1.01
1583,Winter Sports: The Ultimate Challenge,Wii,2007.0,Sports,RTL,0.45,0.68,0.0,0.12,1.26
14795,AMNESIA World,PSV,2014.0,Adventure,Idea Factory,0.0,0.0,0.03,0.0,0.03
12236,Lego Star Wars: The Force Awakens,3DS,2016.0,Action,Warner Bros. Interactive Entertainment,0.02,0.04,0.0,0.0,0.07
10688,Tales of Innocence R,PSV,2012.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1
1484,Middle-Earth: Shadow of Mordor,XOne,2014.0,Action,Warner Bros. Interactive Entertainment,0.72,0.5,0.01,0.1,1.32
5219,Breath of Fire II,SNES,1994.0,Role-Playing,Laguna,0.0,0.0,0.36,0.0,0.36
987,Dead or Alive 3,XB,2001.0,Fighting,Microsoft Game Studios,1.19,0.29,0.24,0.06,1.77
3331,Littlest Pet Shop: Jungle,DS,2008.0,Simulation,Electronic Arts,0.34,0.2,0.0,0.06,0.61
9396,MLB 11: The Show,PS2,2011.0,Sports,Sony Computer Entertainment,0.06,0.05,0.0,0.02,0.13
1320,BioShock,PS3,2008.0,Shooter,Take-Two Interactive,0.75,0.49,0.01,0.21,1.45
5803,Blade II,PS2,2002.0,Action,Activision,0.15,0.12,0.0,0.04,0.31
6547,Loving Life with Hello Kitty & Friends,DS,2011.0,Misc,Rising Star Games,0.15,0.08,0.0,0.02,0.26
14946,Pop'n Music 12 Iroha,PS2,2006.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02
4111,OkamiDen,DS,2010.0,Adventure,Capcom,0.25,0.07,0.13,0.03,0.48
9779,NPPL: Championship Paintball 2009,X360,2008.0,Shooter,Activision Value,0.1,0.01,0.0,0.01,0.12
14721,Aegis of Earth: Protonovus Assault,PS3,2016.0,Action,PQube,0.01,0.01,0.0,0.0,0.03
2315,James Bond 007: Agent Under Fire,XB,2002.0,Shooter,Electronic Arts,0.65,0.22,0.0,0.03,0.9
9982,ASH: Archaic Sealed Heat,DS,2007.0,Role-Playing,Nintendo,0.0,0.0,0.12,0.0,0.12
12763,Myst,SAT,1994.0,Adventure,Sunsoft,0.0,0.0,0.06,0.0,0.06
6987,Me & My Katamari,PSP,2005.0,Puzzle,Namco Bandai Games,0.13,0.02,0.08,0.0,0.23
7449,ESPN Winter X Games: Snowboarding 2002,PS2,2000.0,Sports,Konami Digital Entertainment,0.1,0.08,0.0,0.03,0.21
2919,Jade Empire,XB,2005.0,Role-Playing,Microsoft Game Studios,0.48,0.19,0.0,0.03,0.7
6436,Atelier Ayesha: The Alchemist of Dusk,PS3,2012.0,Role-Playing,Tecmo Koei,0.06,0.04,0.14,0.02,0.27
9507,Ape Escape 3,PS2,2005.0,Platform,Sony Computer Entertainment,0.06,0.05,0.0,0.02,0.13
10816,ReCore,XOne,2016.0,Action,Microsoft Game Studios,0.06,0.03,0.0,0.01,0.1
10169,Eragon,PSP,2006.0,Action,Vivendi Games,0.1,0.0,0.0,0.01,0.11
3476,Gex: Enter the Gecko,PS,1998.0,Platform,BMG Interactive Entertainment,0.32,0.22,0.0,0.04,0.58
1797,The Lord of the Rings: The Return of the King,XB,2003.0,Action,Electronic Arts,0.71,0.38,0.0,0.05,1.14
12809,GRID,DS,2006.719557195572,Racing,Codemasters,0.04,0.01,0.0,0.0,0.06
6646,Tony Hawk's Proving Ground,Wii,2007.0,Sports,Activision,0.22,0.01,0.0,0.02,0.25
6006,Need for Speed: The Run,Wii,2011.0,Action,Electronic Arts,0.13,0.13,0.01,0.03,0.29
11381,Derby Stallion 98,SNES,1998.0,Sports,ASCII Entertainment,0.0,0.0,0.08,0.0,0.08
15983,Turok,PC,2008.0,Action,Touchstone,0.0,0.01,0.0,0.0,0.01
2604,Final Fantasy Tactics A2: Grimoire of the Rift,DS,2007.0,Role-Playing,Square Enix,0.42,0.03,0.3,0.04,0.79
13160,Durarara!! 3-way Standoff,PSP,2010.0,Adventure,ASCII Media Works,0.0,0.0,0.05,0.0,0.05
4139,FIFA World Cup Germany 2006,X360,2006.0,Sports,Electronic Arts,0.19,0.27,0.01,0.0,0.48
13558,Record of Agarest War: Marriage,PSP,2012.0,Role-Playing,Compile Heart,0.0,0.0,0.04,0.0,0.04
12637,Policenauts,3DO,1995.0,Adventure,Konami Digital Entertainment,0.0,0.0,0.06,0.0,0.06
13756,Super Black Bass Fishing,DS,2005.0,Sports,Majesco Entertainment,0.04,0.0,0.0,0.0,0.04
16584,Fit & Fun,Wii,2011.0,Sports,Unknown,0.0,0.01,0.0,0.0,0.01
10908,echochrome,PSP,2008.0,Puzzle,Sony Computer Entertainment,0.0,0.01,0.08,0.0,0.09
14034,RLH: Run Like Hell,XB,2003.0,Shooter,Avalon Interactive,0.03,0.01,0.0,0.0,0.04
10884,Adventure Time: Finn & Jake Investigations,X360,2015.0,Action,Little Orbit,0.02,0.06,0.0,0.01,0.09
1666,FIFA Soccer 07,PSP,2006.0,Sports,Electronic Arts,0.24,0.65,0.0,0.32,1.21
8683,WWE '13,Wii,2012.0,Action,THQ,0.12,0.02,0.0,0.01,0.16
1055,Kirby's Return to Dreamland,Wii,2011.0,Platform,Nintendo,0.62,0.21,0.79,0.08,1.7
15333,Katekyoo Hitman Reborn! Dream Hyper Battle! Wii,Wii,2008.0,Fighting,Marvelous Interactive,0.0,0.0,0.02,0.0,0.02
12135,Resident Evil 6,PS4,2016.0,Shooter,Capcom,0.05,0.0,0.0,0.01,0.07
14525,Samurai Spirits: Tenkaichi Kenkakuden,PS2,2006.719557195572,Fighting,Unknown,0.0,0.0,0.03,0.0,0.03
5136,Kotoba no Puzzle: Mojipittan DS,DS,2007.0,Puzzle,Namco Bandai Games,0.0,0.0,0.37,0.0,0.37
15597,Myth Makers: Super Kart GP,Wii,2007.0,Racing,Popcorn Arcade,0.01,0.0,0.0,0.0,0.02
95,The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,Nintendo,4.1,1.89,1.45,0.16,7.6
5923,Sword Art Online: Hollow Fragment,PSV,2014.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.3,0.0,0.3
3536,Jillian Michaels Fitness Ultimatum 2010,Wii,2009.0,Sports,Majesco Entertainment,0.52,0.01,0.0,0.04,0.57
634,Need for Speed Carbon: Own the City,PSP,2006.0,Racing,Electronic Arts,0.87,0.98,0.0,0.59,2.44
9219,Star Wars: Jedi Power Battles,GBA,2002.0,Action,THQ,0.1,0.04,0.0,0.0,0.14
9836,MX vs. ATV Untamed,DS,2007.0,Racing,THQ,0.11,0.0,0.0,0.01,0.12
10843,SingStar Apres-Ski Party 2,PS3,2010.0,Misc,Sony Computer Entertainment,0.0,0.07,0.0,0.02,0.09
7189,The Legend of Spyro: The Eternal Night,Wii,2007.0,Platform,Vivendi Games,0.18,0.02,0.0,0.02,0.22
10589,Alvin and the Chipmunks: Chipwrecked,X360,2011.0,Misc,505 Games,0.08,0.01,0.0,0.01,0.1
14707,The Last Guy,PS3,2009.0,Action,Sony Computer Entertainment,0.0,0.0,0.03,0.0,0.03
13479,RollerCoaster Tycoon,PC,2006.719557195572,Strategy,Microprose,0.02,0.02,0.0,0.01,0.04
11768,Jimmie Johnson's Anything With an Engine,PS3,2011.0,Racing,Konami Digital Entertainment,0.07,0.0,0.0,0.01,0.07
3988,Dead or Alive Ultimate,XB,2004.0,Fighting,Tecmo Koei,0.3,0.1,0.08,0.02,0.5
616,Mario Party 2,N64,1999.0,Misc,Nintendo,1.28,0.14,1.08,0.01,2.5
6828,Skylanders SWAP Force,3DS,2013.0,Platform,Activision,0.1,0.12,0.0,0.02,0.24
12807,Nobunaga no Yabou: Souzou,PS4,2014.0,Strategy,Tecmo Koei,0.0,0.0,0.06,0.0,0.06
15388,Elminage Original: Majo to Megami to Kamigami no Yubiwa,PSP,2011.0,Role-Playing,Starfish,0.0,0.0,0.02,0.0,0.02
14768,Mahou Sensei Negima! Kagai Jugyou ~Otome no Dokidoki Beachside~,PS2,2006.0,Adventure,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03
6939,Tony Hawk's Downhill Jam,Wii,2006.719557195572,Sports,Activision,0.21,0.0,0.0,0.02,0.24
1573,Football Manager 2011,PC,2010.0,Sports,Sega,0.0,1.01,0.0,0.25,1.26
16350,Idol Janshi Suchie-Pai IV,PS2,2007.0,Misc,Jaleco,0.0,0.0,0.01,0.0,0.01
12397,Championship Surfer,PS,2000.0,Sports,Mattel Interactive,0.03,0.02,0.0,0.0,0.06
6843,Summon Night 3,PS2,2003.0,Role-Playing,Banpresto,0.0,0.0,0.24,0.0,0.24
11731,Nicola Kanshuu: Model Oshare * Audition Platina,3DS,2012.0,Action,Alchemist,0.0,0.0,0.08,0.0,0.08
15515,Soukoku no Kusabi: Hiiro no Kakera 3 - Ashita e no Tobira,PSP,2012.0,Action,Idea Factory,0.0,0.0,0.02,0.0,0.02
2185,Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,GBA,2003.0,Misc,Konami Digital Entertainment,0.68,0.25,0.0,0.02,0.95
14935,Shinseiki Evangelion: Battle Orchestra,PS2,2007.0,Fighting,Broccoli,0.0,0.0,0.02,0.0,0.02
5208,Tetrisphere,N64,1997.0,Puzzle,Nintendo,0.29,0.06,0.0,0.0,0.36
13821,Stuntman,GBA,2003.0,Racing,Atari,0.03,0.01,0.0,0.0,0.04
15749,Summer Challenge: Athletics Tournament,Wii,2011.0,Sports,PQube,0.0,0.01,0.0,0.0,0.02
15071,Pe-Jongju to Manabu Kankokugo DS: Test-Hen,DS,2010.0,Misc,D3Publisher,0.0,0.0,0.02,0.0,0.02
4762,TNA iMPACT!,PS3,2008.0,Fighting,Midway Games,0.22,0.12,0.0,0.06,0.41
723,Spyro: Season of Ice,GBA,2001.0,Platform,Vivendi Games,1.29,0.83,0.0,0.11,2.23
12331,Bomberman Land,PSP,2007.0,Misc,Hudson Entertainment,0.06,0.0,0.0,0.01,0.06
11810,Godai: Elemental Force,PS2,2002.0,Action,3DO,0.04,0.03,0.0,0.01,0.07
14057,Half-Minute Hero 2,PSP,2006.719557195572,Role-Playing,Rising Star Games,0.0,0.0,0.04,0.0,0.04
1724,Ty the Tasmanian Tiger,PS2,2002.0,Platform,Electronic Arts,0.57,0.45,0.0,0.15,1.17
6430,Summer Sports 2: Island Sports Party,Wii,2008.0,Sports,Ubisoft,0.24,0.0,0.0,0.02,0.27
2137,Skylanders: Spyro's Adventure,X360,2011.0,Action,Activision,0.53,0.35,0.0,0.1,0.97
14648,Pacific Liberator,Wii,2009.0,Action,Zoo Games,0.03,0.0,0.0,0.0,0.03
14750,Pro Evolution Soccer 2012,3DS,2011.0,Action,Konami Digital Entertainment,0.02,0.0,0.0,0.0,0.03
9499,Smart Boy's Gameroom,DS,2007.0,Misc,505 Games,0.12,0.0,0.0,0.01,0.13
12088,Fighter Maker 2,PS2,2002.0,Fighting,Enterbrain,0.03,0.03,0.0,0.01,0.07
8449,Jikkyou Powerful Pro Yakyuu 2014,PS3,2014.0,Sports,Konami Digital Entertainment,0.0,0.0,0.17,0.0,0.17
2938,MLB 08: The Show,PS3,2008.0,Sports,Sony Computer Entertainment,0.64,0.0,0.0,0.05,0.7
2518,Custer's Revenge,2600,1981.0,Action,Mystique,0.76,0.05,0.0,0.01,0.82
16284,CT Special Forces 2: Back in the Trenches,GBA,2003.0,Shooter,LSP Games,0.01,0.0,0.0,0.0,0.01
355,The Simpsons: Road Rage,PS2,2001.0,Racing,Electronic Arts,2.02,1.17,0.0,0.42,3.61
8816,Zoids: Battle Legends,GC,2003.0,Action,Tomy Corporation,0.12,0.03,0.0,0.0,0.15
10810,Natural Doctrine,PS4,2014.0,Role-Playing,Nippon Ichi Software,0.05,0.02,0.02,0.01,0.1
13771,Atelier Iris 3: Grand Phantasm (JP Sales),PS2,2006.0,Role-Playing,Tecmo Koei,0.0,0.0,0.04,0.0,0.04
12755,Dino Pets,DS,2009.0,Simulation,Avanquest,0.05,0.0,0.0,0.0,0.06
9646,Smash Court Tennis Pro Tournament 2,PS2,2004.0,Sports,Sony Computer Entertainment,0.06,0.05,0.0,0.02,0.13
13681,Hayate no Gotoku! Ojousama Produce Daisakusen Boku Iro ni Somare! Gakkou-Hen,DS,2008.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.04,0.0,0.04
10877,X-COM: UFO Defense,PS,1995.0,Strategy,Microprose,0.05,0.04,0.0,0.01,0.09
12824,Kyoukai Senjou no Horizon Portable,PSP,2013.0,Adventure,Kadokawa Shoten,0.0,0.0,0.05,0.0,0.05
3788,Burnout Revenge,XB,2005.0,Racing,Electronic Arts,0.32,0.19,0.0,0.01,0.53
7752,Ice Age: Dawn of the Dinosaurs,PS3,2009.0,Action,Activision,0.13,0.04,0.0,0.02,0.19
11160,Star Wars: Empire at War,PC,2006.0,Strategy,LucasArts,0.01,0.06,0.0,0.02,0.09
9309,World Championship Poker 2: Featuring Howard Lederer,PSP,2005.0,Misc,505 Games,0.12,0.0,0.0,0.01,0.14
14696,Biohazard: Revival Selection,X360,2011.0,Action,Capcom,0.0,0.0,0.03,0.0,0.03
2349,Call of Duty: Modern Warfare 2,PC,2009.0,Shooter,Activision,0.01,0.79,0.0,0.09,0.89
11624,Ultimate Fighting Championship: Throwdown,GC,2002.0,Fighting,Ubisoft,0.06,0.02,0.0,0.0,0.08
1541,Watch Dogs,X360,2014.0,Action,Ubisoft,0.72,0.45,0.01,0.11,1.28
5019,Ninja: Shadow of Darkness,PS,1998.0,Action,Eidos Interactive,0.21,0.14,0.0,0.02,0.38
8517,Hannah Montana: Rock Out the Show,PSP,2009.0,Misc,Disney Interactive Studios,0.13,0.01,0.0,0.02,0.16
3950,F1 2012,X360,2012.0,Racing,Codemasters,0.1,0.35,0.0,0.06,0.5
3865,The Punisher,PS2,2005.0,Action,THQ,0.25,0.2,0.0,0.07,0.52
568,Medal of Honor,PS,1998.0,Shooter,Electronic Arts,1.44,1.09,0.0,0.14,2.67
12891,Rockin' Pretty,DS,2009.0,Misc,Arc System Works,0.05,0.0,0.0,0.0,0.05
6534,Indiana Jones and the Staff of Kings,PSP,2009.0,Action,Activision,0.11,0.1,0.0,0.06,0.26
1020,Forza Motorsport 6,XOne,2015.0,Racing,Microsoft Game Studios,0.69,0.89,0.03,0.14,1.74
16318,Gakuen Hetalia,DS,2012.0,Adventure,Idea Factory,0.0,0.0,0.01,0.0,0.01
5954,AMF Bowling 2004,XB,2003.0,Sports,Mud Duck Productions,0.22,0.06,0.0,0.01,0.3
15602,The King of Fighters Collection: The Orochi Saga (JP sales),PS2,2006.0,Fighting,Ignition Entertainment,0.0,0.0,0.02,0.0,0.02
3018,Blazing Angels: Squadrons of WWII,PS3,2006.0,Simulation,Ubisoft,0.35,0.22,0.0,0.1,0.67
6203,Silent Hill 2: Restless Dreams,XB,2001.0,Action,Konami Digital Entertainment,0.21,0.06,0.0,0.01,0.28
5482,NCAA Basketball 10,PS3,2009.0,Sports,Electronic Arts,0.31,0.0,0.0,0.03,0.33
12119,Just Dance: Disney Party 2,XOne,2015.0,Action,Ubisoft,0.05,0.01,0.0,0.01,0.07
7377,Hasbro Family Game Night 3,X360,2010.0,Misc,Electronic Arts,0.17,0.03,0.0,0.01,0.21
3850,Bully: Scholarship Edition,Wii,2008.0,Action,Take-Two Interactive,0.17,0.29,0.0,0.06,0.52
10934,Let's Ride! Silver Buckle Stables,PS2,2006.0,Sports,THQ,0.05,0.04,0.0,0.01,0.09
9229,Science Papa,Wii,2009.0,Misc,Activision,0.12,0.01,0.0,0.01,0.14
8669,StarBlade α,PS,1995.0,Shooter,Sony Computer Entertainment,0.0,0.0,0.15,0.01,0.16
4674,Star Wars Starfighter: Special Edition,XB,2001.0,Simulation,LucasArts,0.3,0.1,0.0,0.02,0.42
12122,Obscure,PS2,2004.0,Adventure,Microids,0.03,0.03,0.0,0.01,0.07
6840,Peter Jackson's King Kong: The Official Game of the Movie,GC,2005.0,Action,Ubisoft,0.19,0.05,0.0,0.01,0.24
14359,Nishijin Pachinko Monogatari 2,SNES,1996.0,Misc,KSS,0.0,0.0,0.03,0.0,0.03
4234,Circus Atari,2600,2006.719557195572,Action,Atari,0.43,0.03,0.0,0.0,0.46
2018,Rayman Origins,PS3,2011.0,Platform,Ubisoft,0.33,0.51,0.01,0.18,1.03
6746,Dune 2000,PS,1999.0,Strategy,Electronic Arts,0.14,0.09,0.0,0.02,0.25
7952,Pro Yaky? Spirits 2012,PS3,2012.0,Sports,Konami Digital Entertainment,0.0,0.0,0.19,0.0,0.19
1155,River Raid,2600,1981.0,Shooter,Activision,1.49,0.09,0.0,0.02,1.6
4251,ATV Offroad Fury Pro,PSP,2006.0,Racing,Sony Computer Entertainment,0.37,0.04,0.0,0.05,0.46
1637,Intelligent Qube,PS,1997.0,Puzzle,Sony Computer Entertainment,0.13,0.07,1.0,0.02,1.22
1423,Pocket Monsters Stadium,N64,1998.0,Strategy,Nintendo,0.0,0.0,1.37,0.0,1.37
4415,World Soccer Winning Eleven 9,XB,2005.0,Sports,Konami Digital Entertainment,0.06,0.33,0.02,0.03,0.44
15428,Malice,PS2,2004.0,Platform,Evolved Games,0.01,0.01,0.0,0.0,0.02
9132,Bravo Air Race,PS,1997.0,Racing,THQ,0.08,0.05,0.0,0.01,0.14
222,FIFA 17,PS4,2016.0,Sports,Electronic Arts,0.28,3.75,0.06,0.69,4.77
12184,Transformer: Rise of the Dark Spark,WiiU,2014.0,Action,Activision,0.05,0.01,0.0,0.01,0.07
14873,Neverwinter Nights 2,PC,2006.0,Role-Playing,Atari,0.0,0.02,0.0,0.0,0.03
5668,Shin Momotarou Densetsu,SNES,1993.0,Role-Playing,Hudson Soft,0.0,0.0,0.32,0.0,0.32
4079,Battlefield: Hardline,PS3,2015.0,Shooter,Electronic Arts,0.12,0.23,0.07,0.07,0.49
5006,Mobile Suit Gundam: Giren no Yabou Zeon Dokuritsu Sensouden,PS2,2002.0,Strategy,Namco Bandai Games,0.0,0.0,0.38,0.0,0.38
13602,The Invincible Iron Man,GBA,2002.0,Action,Activision,0.03,0.01,0.0,0.0,0.04
10551,Monkey Mischief! Party Time,Wii,2008.0,Misc,Activision,0.09,0.0,0.0,0.01,0.1
8744,Stormrise,X360,2009.0,Strategy,Sega,0.11,0.03,0.0,0.01,0.15
3059,Naruto Shippuden: Ultimate Ninja 4,PS2,2007.0,Fighting,Atari,0.26,0.01,0.13,0.26,0.66
4891,Brunswick Pro Bowling,Wii,2007.0,Sports,505 Games,0.36,0.01,0.0,0.03,0.39
4653,Jimmy Neutron: Boy Genius,GBA,2001.0,Platform,THQ,0.3,0.11,0.0,0.01,0.42
12959,Myth Makers: Orbs of Doom,Wii,2007.0,Puzzle,Popcorn Arcade,0.05,0.0,0.0,0.0,0.05
2301,Burnout Revenge,PS2,2005.0,Racing,Electronic Arts,0.75,0.03,0.0,0.12,0.9
8835,Mind Zero,PSV,2013.0,Role-Playing,GungHo,0.08,0.0,0.04,0.02,0.15
1946,Call of Duty 4: Modern Warfare,DS,2007.0,Shooter,Activision,0.96,0.02,0.01,0.08,1.06
246,God of War,PS2,2005.0,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45
462,Saints Row 2,X360,2008.0,Action,THQ,1.94,0.8,0.02,0.27,3.03
714,Resident Evil 4,Wii,2007.0,Action,Capcom,1.34,0.57,0.14,0.21,2.26
15974,Memories Off 6: Next Relation,PS2,2009.0,Adventure,5pb,0.0,0.0,0.02,0.0,0.02
4023,Super Monkey Ball 3D,3DS,2011.0,Action,Sega,0.26,0.15,0.05,0.04,0.49
2640,We Sing,Wii,2009.0,Misc,Nordic Games,0.0,0.69,0.0,0.09,0.78
11520,Goblin Commander: Unleash the Horde,XB,2003.0,Strategy,Jaleco,0.06,0.02,0.0,0.0,0.08
2098,Midnight Club: LA Remix,PSP,2008.0,Racing,Take-Two Interactive,0.52,0.28,0.0,0.19,0.99
14226,The Sum of All Fears,GC,2003.0,Shooter,Ubisoft,0.03,0.01,0.0,0.0,0.03
10935,Star Wars: Empire at War - Gold Pack,PC,2007.0,Strategy,LucasArts,0.01,0.06,0.0,0.01,0.09
4817,Samurai Shodown,SNES,1994.0,Fighting,Takara,0.0,0.0,0.4,0.0,0.4
14837,The Peanuts Movie: Snoopy's Grand Adventure,PS4,2015.0,Action,Activision,0.0,0.02,0.0,0.0,0.03
4887,NHL 99,N64,1998.0,Sports,Electronic Arts,0.38,0.01,0.0,0.0,0.39
14876,Back to the Future: The Game,X360,2015.0,Adventure,Telltale Games,0.02,0.01,0.0,0.0,0.03
10058,Desktop Tower Defense,DS,2009.0,Strategy,THQ,0.11,0.0,0.0,0.01,0.11
4935,BattleTanx: Global Assault,N64,1999.0,Action,3DO,0.31,0.07,0.0,0.0,0.39
14386,Hearts of Iron IV,PC,2016.0,Strategy,Paradox Interactive,0.0,0.03,0.0,0.0,0.03
15550,Reversal Challenge,DS,2009.0,Misc,Tommo,0.02,0.0,0.0,0.0,0.02
3569,NHL Hitz 20-02,PS2,2001.0,Sports,Midway Games,0.28,0.22,0.0,0.07,0.56
7899,Phantasy Star Universe,PS2,2006.0,Role-Playing,Sega,0.0,0.0,0.19,0.0,0.19
2849,Super Monkey Ball Jr.,GBA,2002.0,Puzzle,Atari,0.51,0.19,0.0,0.01,0.72
13914,Darklight Conflict,PS,1997.0,Simulation,Electronic Arts,0.02,0.01,0.0,0.0,0.04
11834,NOëL: La Neige,PS,1998.0,Adventure,Pioneer LDC,0.0,0.0,0.07,0.0,0.07
5249,DanceDanceRevolution,Wii,2010.0,Simulation,Konami Digital Entertainment,0.29,0.04,0.0,0.02,0.36
2537,Patapon,PSP,2007.0,Misc,Sony Computer Entertainment,0.33,0.25,0.07,0.17,0.81
5645,Gold's Gym: Cardio Workout (Others sales),Wii,2008.0,Sports,Ubisoft,0.0,0.3,0.0,0.02,0.32
3691,SingStar Summer Party,PS2,2008.0,Misc,Sony Computer Entertainment,0.0,0.06,0.0,0.48,0.54
8921,Fugitive Hunter: War on Terror,PS2,2003.0,Shooter,Play It,0.07,0.06,0.0,0.02,0.15
14725,Max Payne 2: The Fall of Max Payne,PC,2003.0,Shooter,Take-Two Interactive,0.0,0.02,0.0,0.0,0.03
13157,Guild 01,3DS,2012.0,Action,Level 5,0.0,0.0,0.05,0.0,0.05
14520,Tenka-bito,PS2,2006.0,Strategy,Sega,0.0,0.0,0.03,0.0,0.03
